DATE,10YYIELD,MORTGAGE30US,USHPI,FEDFUNDS,SHILLER,MEDIANSALEPRICE
1988-07-01,8.87,10.42,1.04187,7.75,7.33687,4.54545
1988-10-01,9.14,10.77,0.9144,8.3,7.24574,-0.95652
1989-01-01,9.3,11.19,1.16316,9.12,7.34012,3.59965
1989-04-01,8.1,10.07,1.37848,9.84,7.27776,0.76271
1989-07-01,8.31,10.16,2.13046,9.24,6.0765,0.92515
1989-10-01,7.93,9.78,0.82827,8.84,5.03419,4.0
1990-01-01,8.65,10.22,0.5659,8.23,3.9543,-0.72115
1990-04-01,8.43,10.15,0.4175,8.26,2.89981,2.3406
1990-07-01,8.82,10.22,0.62063,8.15,1.99627,-7.72871
1990-10-01,8.08,9.68,-0.38924,8.11,0.55434,3.84615
1991-01-01,8.05,9.52,0.82361,6.91,-1.29889,-1.23457
1991-04-01,8.24,9.67,0.66782,5.91,-2.23656,-0.08333
1991-07-01,7.47,8.92,0.19546,5.82,-1.34605,0.0834
1991-10-01,6.71,8.35,1.39513,5.21,-0.80872,0.0
1992-01-01,7.54,8.98,0.77542,4.03,0.21845,-0.41667
1992-04-01,7.14,8.43,-0.02314,3.73,1.01441,0.41841
1992-07-01,6.37,8.02,1.13998,3.25,0.25354,0.0
1992-10-01,6.7,8.14,0.49777,3.1,0.40241,5.0
1993-01-01,6.03,7.5,0.05124,3.02,0.91944,-0.79365
1993-04-01,5.8,7.34,0.95596,2.96,0.76368,1.6
1993-07-01,5.4,6.95,0.81163,3.06,1.53044,0.0
1993-10-01,5.83,7.13,0.81628,2.99,2.05491,0.0
1994-01-01,6.77,7.8,0.62666,3.05,2.36013,2.3622
1994-04-01,7.34,8.46,0.59521,3.56,2.6611,0.0
1994-07-01,7.62,8.82,0.41089,4.26,2.79518,-0.23077
1994-10-01,7.84,9.18,-0.08184,4.76,2.72735,1.77332
1995-01-01,7.2,8.38,0.52422,5.53,2.33896,-1.51515
1995-04-01,6.21,7.53,1.64593,6.05,2.12071,3.0
1995-07-01,6.17,7.62,1.53912,5.85,1.68621,-1.41897
1995-10-01,5.58,7.11,0.76842,5.76,1.77204,4.54545
1996-01-01,6.34,7.69,1.12295,5.56,1.74943,-0.72464
1996-04-01,6.73,8.29,0.16528,5.22,2.18368,2.11679
1996-07-01,6.72,8.16,0.44346,5.4,2.46404,0.07148
1996-10-01,6.43,7.64,0.78033,5.24,2.32729,2.92857
1997-01-01,6.92,7.97,0.83032,5.25,2.58271,0.62457
1997-04-01,6.51,7.58,0.82348,5.51,2.67279,0.55172
1997-07-01,6.12,7.28,1.35792,5.52,2.90468,-0.5487
1997-10-01,5.75,6.99,1.30512,5.5,3.32305,-0.55172
